"SOURCE","TARGET"
"Florida State","Syracuse"
"Maryland","Temple"
"Texas-El Paso","Tennessee"
"Southern California","Texas"
"Louisiana-Monroe","Texas A&M"
"Houston","Texas Tech"
"Nebraska","Troy"
"Ohio","Virginia"
"Utah","Washington"
"Eastern Washington","Washington State"
"Delaware State","Western Michigan"
"Wofford","Wyoming"
"Tulsa","Temple"
"Florida Atlantic","Central Florida"
"Illinois","Penn State"
"Washington State","Southern California"
"Texas A&M","Alabama"
"Gardner-Webb","Appalachian State"
"Oregon State","Arizona"
"Nevada-Las Vegas","Arkansas State"
"Arkansas","Auburn"
"Kansas","Baylor"
"McNeese State","Brigham Young"
"Rutgers","Buffalo"
"Maine","Central Michigan"
"Ohio","Cincinnati"
"Georgia Tech","Clemson"
"Louisiana","Coastal Carolina"
"North Carolina Central","Duke"
"Tennessee","Florida"
"Northern Illinois","Florida State"
"Missouri","Georgia"
"Duquesne","Hawaii"
"Texas Southern","Houston"
"Colorado State","Illinois State"
"Akron","Iowa State"
"Mississippi State","Kentucky"
"Louisiana Tech","Louisiana State"
"Minnesota","Maryland"
"Charlotte","Massachusetts"
"South Alabama","Memphis"
"Florida International","Miami FL"
"Bowling Green State","Miami OH"
"Nebraska","Michigan"
"Indiana","Michigan State"
"Kent State","Mississippi"
"Texas-El Paso","New Mexico State"
"Pittsburgh","North Carolina"
"Marshall","North Carolina State"
"Liberty","North Texas"
"Wake Forest","Notre Dame"
"Tulane","Ohio State"
"Army","Oklahoma"
"Virginia Tech","Old Dominion"
"Boston College","Purdue"
"Eastern Michigan","San Diego State"
"Vanderbilt","South Carolina"
"East Carolina","South Florida"
"Navy","Southern Methodist"
"Rice","Southern Mississippi"
"Oregon","Stanford"
"Connecticut","Syracuse"
"Texas Christian","Texas"
"Oklahoma State","Texas Tech"
"Texas State","Texas-San Antonio"
"Nevada","Toledo"
"Louisiana-Monroe","Troy"
"Air Force","Utah State"
"Louisville","Virginia"
"Arizona State","Washington"
"Kansas State","West Virginia"
"Ball State","Western Kentucky"
"Georgia State","Western Michigan"
"Iowa","Wisconsin"
"North Carolina","Miami FL"
"UCLA","Colorado"
"Memphis","Tulane"
"Louisiana","Alabama"
"Charlotte","Alabama-Birmingham"
"South Alabama","Appalachian State"
"Oregon State","Arizona State"
"Buffalo","Army"
"Southern Mississippi","Auburn"
"Kent State","Ball State"
"Wyoming","Boise State"
"Temple","Boston College"
"Pittsburgh","Central Florida"
"Connecticut","Cincinnati"
"Syracuse","Clemson"
"Old Dominion","East Carolina"
"Mississippi State","Florida"
"Arkansas-Pine Bluff","Florida International"
"Louisville","Florida State"
"Toledo","Fresno State"
"Tennessee","Georgia"
"Arkansas State","Georgia Southern"
"Louisiana-Monroe","Georgia State"
"Bowling Green State","Georgia Tech"
"San Jose State","Hawaii"
"Rutgers","Indiana"
"South Carolina","Kentucky"
"New Mexico","Liberty"
"Mississippi","Louisiana State"
"North Texas","Louisiana Tech"
"Western Kentucky","Marshall"
"Northwestern","Michigan"
"Central Michigan","Michigan State"
"Florida Atlantic","Middle Tennessee State"
"Air Force","Nevada"
"Virginia","North Carolina State"
"Eastern Michigan","Northern Illinois"
"Stanford","Notre Dame"
"Massachusetts","Ohio"
"Penn State","Ohio State"
"Baylor","Oklahoma"
"Kansas","Oklahoma State"
"California","Oregon"
"Nebraska","Purdue"
"Arizona","Southern California"
"Houston Baptist","Southern Methodist"
"Kansas State","Texas"
"Arkansas","Texas A&M"
"Iowa State","Texas Christian"
"Texas-El Paso","Texas-San Antonio"
"Coastal Carolina","Troy"
"Tennessee State","Vanderbilt"
"Duke","Virginia Tech"
"Rice","Wake Forest"
"Brigham Young","Washington"
"Utah","Washington State"
"Texas Tech","West Virginia"
"Miami OH","Western Michigan"
"Tulsa","Houston"
"Georgia State","Troy"
"Louisville","Georgia Tech"
"Marshall","Middle Tennessee State"
"Brigham Young","Utah State"
"Navy","Air Force"
"Arkansas","Alabama"
"Louisiana Tech","Alabama-Birmingham"
"California","Arizona"
"Kansas State","Baylor"
"Central Michigan","Buffalo"
"Southern Methodist","Central Florida"
"Tulane","Cincinnati"
"Wake Forest","Clemson"
"Arizona State","Colorado"
"San Jose State","Colorado State"
"Louisiana State","Florida"
"Old Dominion","Florida Atlantic"
"Nevada","Fresno State"
"Vanderbilt","Georgia"
"South Alabama","Georgia Southern"
"Wyoming","Hawaii"
"Rutgers","Illinois"
"Minnesota","Iowa"
"Oklahoma State","Iowa State"
"Texas State","Louisiana"
"Connecticut","Memphis"
"Florida State","Miami FL"
"Akron","Miami OH"
"Maryland","Michigan"
"Louisiana-Monroe","Mississippi"
"Auburn","Mississippi State"
"Nevada-Las Vegas","New Mexico"
"Liberty","New Mexico State"
"Boston College","North Carolina State"
"Texas-El Paso","North Texas"
"Ball State","Northern Illinois"
"Michigan State","Northwestern"
"Virginia Tech","Notre Dame"
"Kent State","Ohio"
"Indiana","Ohio State"
"Syracuse","Pittsburgh"
"Boise State","San Diego State"
"Missouri","South Carolina"
"Massachusetts","South Florida"
"East Carolina","Temple"
"Oklahoma","Texas"
"Kentucky","Texas A&M"
"Rice","Texas-San Antonio"
"Bowling Green State","Toledo"
"Stanford","Utah"
"UCLA","Washington"
"Oregon State","Washington State"
"Kansas","West Virginia"
"Eastern Michigan","Western Michigan"
"Nebraska","Wisconsin"
"Arkansas State","Appalachian State"
"Texas State","Georgia Southern"
"Texas Christian","Texas Tech"
"Air Force","San Diego State"
"Tulsa","South Florida"
"Arizona","Utah"
"Missouri","Alabama"
"Rice","Alabama-Birmingham"
"San Jose State","Army"
"Central Michigan","Ball State"
"Nevada","Boise State"
"Louisville","Boston College"
"Hawaii","Brigham Young"
"Akron","Buffalo"
"Memphis","Central Florida"
"Western Kentucky","Charlotte"
"New Mexico","Colorado State"
"Georgia Tech","Duke"
"Toledo","Eastern Michigan"
"Vanderbilt","Florida"
"Middle Tennessee State","Florida International"
"Wyoming","Fresno State"
"East Carolina","Houston"
"Indiana","Iowa"
"West Virginia","Iowa State"
"Oklahoma State","Kansas State"
"Troy","Liberty"
"New Mexico State","Louisiana"
"Georgia","Louisiana State"
"Texas-San Antonio","Louisiana Tech"
"Coastal Carolina","Louisiana-Monroe"
"Old Dominion","Marshall"
"Rutgers","Maryland"
"Kent State","Miami OH"
"Wisconsin","Michigan"
"Penn State","Michigan State"
"Arkansas","Mississippi"
"Southern Mississippi","North Texas"
"Ohio","Northern Illinois"
"Nebraska","Northwestern"
"Pittsburgh","Notre Dame"
"Minnesota","Ohio State"
"Washington","Oregon"
"Illinois","Purdue"
"Alabama State","South Alabama"
"Colorado","Southern California"
"Navy","Temple"
"Auburn","Tennessee"
"Baylor","Texas"
"South Carolina","Texas A&M"
"California","UCLA"
"Nevada-Las Vegas","Utah State"
"Miami FL","Virginia"
"North Carolina","Virginia Tech"
"Bowling Green State","Western Michigan"
"Georgia State","Arkansas State"
"Arizona State","Stanford"
"Nevada-Las Vegas","Air Force"
"Colorado State","Boise State"
"Kent State","Akron"
"Tennessee","Alabama"
"North Texas","Alabama-Birmingham"
"Louisiana","Appalachian State"
"Tulsa","Arkansas"
"Miami OH","Army"
"Mississippi","Auburn"
"Toledo","Buffalo"
"Oregon State","California"
"East Carolina","Central Florida"
"North Carolina State","Clemson"
"Massachusetts","Coastal Carolina"
"Ball State","Eastern Michigan"
"Rice","Florida International"
"Wake Forest","Florida State"
"New Mexico","Fresno State"
"New Mexico State","Georgia Southern"
"Navy","Houston"
"Maryland","Iowa"
"Vanderbilt","Kentucky"
"Idaho State","Liberty"
"Mississippi State","Louisiana State"
"Texas-El Paso","Louisiana Tech"
"Texas State","Louisiana-Monroe"
"Florida Atlantic","Marshall"
"Michigan State","Michigan"
"Charlotte","Middle Tennessee State"
"Memphis","Missouri"
"Minnesota","Nebraska"
"Hawaii","Nevada"
"Rutgers","Northwestern"
"Bowling Green State","Ohio"
"Texas Christian","Oklahoma"
"Western Kentucky","Old Dominion"
"Indiana","Penn State"
"Ohio State","Purdue"
"San Jose State","San Diego State"
"Connecticut","South Florida"
"Tulane","Southern Methodist"
"Texas-San Antonio","Southern Mississippi"
"North Carolina","Syracuse"
"Cincinnati","Temple"
"Kansas","Texas Tech"
"Arizona","UCLA"
"Southern California","Utah"
"Wyoming","Utah State"
"Duke","Virginia"
"Colorado","Washington"
"Oregon","Washington State"
"Central Michigan","Western Michigan"
"Illinois","Wisconsin"
"South Alabama","Troy"
"Appalachian State","Georgia Southern"
"Virginia Tech","Georgia Tech"
"Ball State","Ohio"
"Western Michigan","Toledo"
"Baylor","West Virginia"
"Miami FL","Boston College"
"Indiana","Minnesota"
"UCLA","Utah"
"Colorado State","Wyoming"
"Central Michigan","Akron"
"Texas-El Paso","Alabama-Birmingham"
"Oregon","Arizona"
"Southern California","Arizona State"
"Eastern Michigan","Army"
"Air Force","Boise State"
"Washington","California"
"Southern Mississippi","Charlotte"
"Southern Methodist","Cincinnati"
"Florida State","Clemson"
"Georgia State","Coastal Carolina"
"Western Kentucky","Florida International"
"Hawaii","Fresno State"
"Florida","Georgia"
"South Florida","Houston"
"Texas Tech","Iowa State"
"Texas Christian","Kansas"
"Missouri","Kentucky"
"Arkansas State","Louisiana"
"Florida Atlantic","Louisiana Tech"
"Illinois","Maryland"
"Connecticut","Massachusetts"
"Purdue","Michigan State"
"Old Dominion","Middle Tennessee State"
"Texas A&M","Mississippi State"
"Bethune-Cookman","Nebraska"
"San Diego State","Nevada"
"Rice","North Texas"
"Brigham Young","Northern Illinois"
"Wisconsin","Northwestern"
"Navy","Notre Dame"
"Kansas State","Oklahoma"
